japanese,reading,meaning,sinoVietnamese
飛び上がる,とびあがる,"bay lên , nhảy lên, bất ngờ",PHI THƯỢNG
浮かび上がる,うかびあがる,"nổi lên, nổi lên tình nghi",PHÙ THƯỢNG
舞い上がる,まいあがる,"bay vút lên, tâm trạng bay bổng ",VŨ THƯỢNG
燃え上がる,もえあがる,bốc cháy lên,NHIÊN THƯỢNG
盛り上がる,もりあがる,"chồng chất lên, tăng lên, phấn khích ",THỊNH THƯỢNG
湧き上がる,わきあがる,"sôi lên, dấy lên ",PHÍ
晴れ上がる,はれあがる,nắng hẳn lên (nhấn mạnh sự thay đổi trạng thái vd:mưa> nắng),
震え上がる,ふるえあがる,Run lên cầm cập; run bắn lên,
縮み上がる,ちぢみあがる,Co rúm lại; sợ hãi; khúm núm,SÚC THƯỢNG
干上がる,ひあがる,khô nẻ,CAN THƯỢNG
でき上がる,できあがる,hoàn thành,
持ち上げる,もちあげる,nhấc lên,TRÌ THƯỢNG
見上げる,みあげる,"ngước lên, ngưỡng mộ ",KIẾN THƯỢNG
積み上げる,つみあげる,"vun lên, chất lên ",TÍCH THƯỢNG
打ち上げる,うちあげる,"bắn, phóng (pháo hao) /n báo cáo (với cấp trên)",
立ち上げる,たちあげる,"Khởi động (Máy tính, chương trình); Bắt đầu kế hoạch, hoạt động kinh doanh",
切り上げる,きりあげる,"Cắt đứt, chấm dứt, kết thúc ",THIẾT THƯỢNG
繰り上げる,くりあげる,"sớm hơn (lịch trình), tiến lên ",SÀO THƯỢNG
磨き上げる,みがきあげる,đánh bóng lên ,MA THƯỢNG
鍛え上げる,きたえあげる,"dạy dỗ, rèn đúc ",ĐOÁN THƯỢNG
書き上げる,かきあげる,viết xong ,THƯ THƯỢNG
育て上げる,そだてあげる,nuôi lớn ,DỤC THƯỢNG
読み上げる,よみあげる,đọc từng cái một ,ĐỘC THƯỢNG
数え上げる,かぞえあげる,"đếm từng cái một, liệt kê",SỐ THƯỢNG
投げ出す,なげだす,"Ném ra, vứt bỏ, phó mặc",ĐẦU XUẤT
持ち出す,もちだす,mang ra ngoài,TRÌ XUẤT
追い出す,おいだす,"đuổi cổ, tống cổ ",TRUY XUẤT
放り出す,ほうりだす,"Ném ra ngoài, bỏ giở giữa chừng",
貸し出す,かしだす,"Mượn cái gì mang ra ngoài, thuật ngữ hay dùng mượn sách trong thư viện mang ra ngoài",
聞き出す,ききだす,"lấy thông tin, chất vấn", VĂN XUẤT
連れ出す,つれだす,dẫn ra ngoài T,LIÊN XUẤ
引っ張り出す,ひっぱりだす,"từ này thường dùng trong các trường hợp nói vui, nói quá, mỉa mai ... các trường hợp bt không dùng từ này. その写真はどこから引っ張り出したの？ tấm ảnh đó mày móc ( bới ) ở chỗ nào ra vậy.",
逃げ出す,にげだす,逃げ出したくなってももう離さないけど Dù e có muốn bỏ chạy thì a cũng k buông đâu,
飛び出す,とびだす,飛行機が飛び出す Máy bay cất cánh 会社を飛び出す Từ bỏ công tác ở công ty,
見つけ出す,みつけだす,TÌM RA,
探し出す,さがしだす,",PHÁT HIỆN RA ĐƯỢC cũng là tìm ra luôn :D",
書き出す,かきだす,EXPORT,
